"","Kommunkod","Region","Population","Andel_födda_på_population"
"212","1495","Skara",18654,9.97
"242","0160","Täby",76738,7.64
"120","1781","Kristinehamn",23817,7.56
"144","1281","Lund",130288,7.76
"217","2061","Smedjebacken",10913,7.61
"218","2182","Söderhamn",24858,6.72
"81","2583","Haparanda",9177,5.01
"71","1447","Gullspång",5119,7.03
"68","0980","Gotland",61029,7.44
"179","1060","Olofström",13061,6.66
"121","2309","Krokom",15595,9.17
"74","1783","Hagfors",11536,8.15
"103","2514","Kalix",15547,7.08
"177","1407","Öckerö",12819,6.47
"175","0192","Nynäshamn",30311,9.2
"96","0126","Huddinge",113920,9.38
"16","2505","Arvidsjaur",6113,8.18
"199","2303","Ragunda",5135,9.15
"136","1885","Lindesberg",23292,8.46
"93","0821","Högsby",5438,5.88
"98","0860","Hultsfred",13883,7.64
"258","0488","Trosa",14885,7.86
"243","1435","Tanum",12865,5.6
"265","0380","Uppsala",245329,10
"94","1267","Höör",17376,9.38
"26","2403","Bjurholm",2348,8.94
"281","0187","Vaxholm",11817,5.42
"84","1401","Härryda",39875,9.03
"60","2026","Gagnef",10430,10.93
"155","1481","Mölndal",70534,11.2
