"","Kommunkod","Region","Population","Andel_födda_på_population"
"264","0114","Upplands Väsby",50110,10.18
"270","0115","Vallentuna",35076,8.67
"187","0117","Österåker",49282,9.03
"277","0120","Värmdö",46637,8.49
"100","0123","Järfälla",86330,10.25
"44","0125","Ekerö",28808,6.49
"96","0126","Huddinge",113920,9.38
"34","0127","Botkyrka",95592,9.42
"205","0128","Salem",17451,10.31
"80","0136","Haninge",99751,10.62
"259","0138","Tyresö",49173,8.46
"263","0139","Upplands-Bro",32453,11.62
"174","0140","Nykvarn",12107,8.59
"242","0160","Täby",76738,7.64
"40","0162","Danderyd",32419,6.94
"222","0163","Sollentuna",76790,8.97
"229","0180","Stockholm",988943,11.68
"220","0181","Södertälje",102519,10.73
"163","0182","Nacka",110633,9.75
"235","0183","Sundbyberg",55912,14.18
"223","0184","Solna",85426,13.58
"133","0186","Lidingö",48324,7.97
"281","0187","Vaxholm",11817,5.42
"170","0188","Norrtälje",65770,7.47
"209","0191","Sigtuna",52529,10.39
"175","0192","Nynäshamn",30311,9.2
"73","0305","Håbo",22974,8.84
"6","0319","Älvkarleby",9572,9.09
"116","0330","Knivsta",20714,9.03
"86","0331","Heby",14343,8.78
"246","0360","Tierp",21193,7.5
"265","0380","Uppsala",245329,10
"47","0381","Enköping",48292,9.09
"189","0382","Östhammar",22172,7.26
"288","0428","Vingåker",8856,7.45
"64","0461","Gnesta",11520,5.64
"173","0480","Nyköping",58200,8.45
"194","0481","Oxelösund",12106,7.68
"58","0482","Flen",15668,6.83
"110","0483","Katrineholm",34324,8.39
"48","0484","Eskilstuna",107468,9.06
"232","0486","Strängnäs",38917,8.33
"258","0488","Trosa",14885,7.86
"178","0509","Ödeshög",5279,7.39
"289","0512","Ydre",3637,6.6
"113","0513","Kinda",9992,8.71
"35","0560","Boxholm",5523,8.15
"21","0561","Åtvidaberg",11460,9.25
"57","0562","Finspång",21694,7.7
"269","0563","Valdemarsvik",7541,7.96
"137","0580","Linköping",167404,9.29
"169","0581","Norrköping",145163,9.64
"219","0582","Söderköping",14867,6.93
"159","0583","Motala",43728,8.71
"267","0584","Vadstena",7434,7.4
"154","0586","Mjölby",28576,9.52
"9","0604","Aneby",6852,9.19
"65","0617","Gnosjö",9246,8.76
"160","0642","Mullsjö",7577,12.27
"72","0643","Habo",13275,10.55
"63","0662","Gislaved",29014,7.82
"268","0665","Vaggeryd",14811,9.72
"102","0680","Jönköping",146161,10.56
"164","0682","Nässjö",31648,9.32
"278","0683","Värnamo",34601,9.36
"208","0684","Sävsjö",11668,10.97
"284","0685","Vetlanda",27498,8.98
"45","0686","Eksjö",17750,8.51
"254","0687","Tranås",18755,7.73
"266","0760","Uppvidinge",9263,9.18
"132","0761","Lessebo",8342,8.63
"248","0763","Tingsryd",12155,8.14
"5","0764","Alvesta",20040,8.03
"3","0765","Älmhult",17932,10.32
"152","0767","Markaryd",10076,8.54
"282","0780","Växjö",97574,10.45
"138","0781","Ljungby",28304,9.01
"93","0821","Högsby",5438,5.88
"252","0834","Torsås",7002,9.14
"158","0840","Mörbylånga",16144,7.68
"98","0860","Hultsfred",13883,7.64
"156","0861","Mönsterås",13134,8.15
"46","0862","Emmaboda",9056,8.06
"104","0880","Kalmar",72304,9.68
"172","0881","Nybro",20145,8.79
"186","0882","Oskarshamn",26918,9.06
"280","0883","Västervik",36434,7.93
"286","0884","Vimmerby",15461,9.12
"32","0885","Borgholm",10748,4.75
"68","0980","Gotland",61029,7.44
"179","1060","Olofström",13061,6.66
"108","1080","Karlskrona",66420,8.76
"202","1081","Ronneby",29021,8.27
"106","1082","Karlshamn",31996,7.94
"224","1083","Sölvesborg",17475,7.9
"239","1214","Svalöv",14544,9.35
"227","1230","Staffanstorp",27152,9.43
"38","1231","Burlöv",19844,10.13
"283","1233","Vellinge",37738,7.13
"190","1256","Östra Göinge",14331,8.58
"181","1257","Örkelljunga",10433,9.49
"27","1260","Bjuv",15968,9.02
"111","1261","Kävlinge",32430,8.29
"141","1262","Lomma",24627,6.46
"240","1263","Svedala",23470,9.29
"216","1264","Skurup",16861,10.2
"211","1265","Sjöbo",19437,8.59
"95","1266","Hörby",15585,8.6
"94","1267","Höör",17376,9.38
"250","1270","Tomelilla",13660,8.2
"37","1272","Bromölla",12498,7.68
"185","1273","Osby",13106,8.85
"197","1275","Perstorp",7323,10.51
"115","1276","Klippan",17723,8.13
"20","1277","Åstorp",16458,9.84
"23","1278","Båstad",15912,8.17
"148","1280","Malmö",362133,12.23
"144","1281","Lund",130288,7.76
"127","1282","Landskrona",47134,9.61
"88","1283","Helsingborg",151306,10.18
"92","1284","Höganäs",28193,7.52
"49","1285","Eslöv",34775,9.55
