"Word1";"Word2";"Word3";"Word4";"Word5";"Word6";"Word7";"Word8";"Word9";"Word10";"Word11";"Word12";"Word13";"Word14";"Word15";"Word16";"Word17";"Word18";"Word19";"Word20";"Word21";"Word22";"Word23";"Word24";"Word25";"Word26";"Word27";"Word28";"Word29";"Word30";"Word31";"Word32";"Word33";"Word34";"Word35";"Word36";"Word37";"Word38";"Word39";"Word40";"Word41";"Word42";"Word43";"Word44";"Word45";"Word46";"Word47";"Word48";"Char1";"Char2";"Char3";"Char4";"Char5";"Char6";"Capitalrun1";"Capitalrun2";"Capitalrun3";"Spam"
1,88;0;0;0;0;0;0;0;0;0;0;0,31;0;0;0;0;0;0;0,31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,168;0;0,112;0;0,056;2,933;23;311;0
0,68;0,17;0,51;0;0,34;0;0,51;0;0;0,51;0;0,51;0,51;0,17;0,17;0,34;0,17;1,02;4,96;0;1,36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,34;0;0;0;0,063;0,095;0;0,126;0;0;2,285;40;224;1
0;0;0;0;0;0;0;0;0;1,19;0;2,38;0;0;0;0;0;0;1,19;0;0;0;0;0;1,19;1,19;0;2,38;0;0;0;0;0;0;0;1,19;0;0;0;0;0;0;0;0;0;0;0;0;0;0,621;0;0;0;0;2,617;11;89;0
0;14,28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,8;5;9;0
0,52;0;1,05;0;0,52;0;0;0;0;0;0;3,17;0;0;0;0;0;0;0,52;0;0;0;0;0;2,64;2,64;0,52;0;0;0;0;0;0;0;0;0,52;1,05;0;2,64;0;0;0,52;0,52;1,58;0,52;0;0;0,52;0,084;0,169;0,084;0;0;0;1,577;12;112;0
0;0;0;0;0;0,67;0;0,67;0;0;0;2,02;0;0;0;0;0;0;0;0;0;0;0;0;2,02;1,35;0;1,35;0;0;0;0;0;0;0,67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,205;0;0;0;0;2,84;24;142;0
0;0;0;0;0,64;0;0,64;0;0;0;0;0,64;0;0;0;0;0;0;5,8;0;0,64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,64;0;0;0;0;0;0;1,44;0;0;2,875;21;115;1
0;0,51;0;0;0;0;0;0;0;0,51;1,02;0,51;0;0;0;0,25;0,76;1,27;2,04;0;0,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0,457;0;0,29;0;0,124;2,614;66;149;1
0,47;0;1,19;0;0,23;0,23;0;0;0;0,47;0;1,43;0;0;0;0,71;1,43;0;5,26;0;2,63;0;0,71;0,23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,23;0;0;0;0;0;0;0;0;0;0;0,178;0;0,402;0,402;0,089;5,681;49;392;1
0;0;0;0;0;0;0;0;0;0,88;0;0;0;0;0;0;0;0;1,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,88;0;0,88;0;0;0;0;0;0;1,76;0;0;0;0,157;0;0,157;0;0;2;15;84;0
0;0;2,91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,389;0;0,389;0;0;1,26;3;29;0
0;0;0,15;0;0,62;0;0,31;0;1,09;0;0;0;0,46;0;0;0,15;0,15;1,4;2,19;0;1,09;0;0,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,252;0;0,378;4,017;0;3,278;23;259;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,333;14;20;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,5;9;11;0
0;0;0,43;0;0;0;0;0;0;0;0;0,43;1,29;0;0;0;0;0;1,29;0;0,43;0;0;0;0,86;0;0;0;0;0;0;0;0,43;0;0;0,86;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22;0;0,146;0;0;1,341;6;55;0
0;0;0,76;0;0,76;0;0;0;0;0;0;0;0;0;0;0;0;0;0,76;0;0;0;0;0;0,76;0;1,52;0,76;0,76;1,52;0,76;0,76;0;0,76;0,76;0,76;0,76;0;0;0,76;0;0,76;0;0;2,29;0;0;0;0;0,254;0;0,127;0;0;1,755;11;79;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,57;0;0,78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,78;0,78;0,78;0;0;0;0;0;0;0;0;2,848;51;94;0
0;0;0;0;0;0;0;0;0;0;0,61;0,61;0;0;0;0;0;0;0;0;0;0;0;0;1,85;0;0;0;0;0,61;0;0;0,61;0;0;0,61;0,61;0;0;0;0;0,61;0;0;0;0;0;0;0,179;0;0;0;0;0;1,24;6;67;0
0;0;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,33;0;0;0;0;0;0;2,66;1,33;0;1,33;0;1,33;1,33;0;0;0;1,33;1,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0,288;0;0,144;0;0;1,857;10;39;0
0;0;0;0;0;0;0;0;0;0;0;0,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,63;0;0;0;0;0;0;0;0,63;13,37;0;0;0;0,158;0;0;0,079;0,079;1,719;15;98;0
