"","Kommunkod","Region","Population","Andel_födda_på_population"
"264","0114","Upplands Väsby",50110,10.18
"100","0123","Järfälla",86330,10.25
"205","0128","Salem",17451,10.31
"80","0136","Haninge",99751,10.62
"263","0139","Upplands-Bro",32453,11.62
"229","0180","Stockholm",988943,11.68
"220","0181","Södertälje",102519,10.73
"209","0191","Sigtuna",52529,10.39
"265","0380","Uppsala",245329,10
"72","0643","Habo",13275,10.55
"102","0680","Jönköping",146161,10.56
"208","0684","Sävsjö",11668,10.97
"3","0765","Älmhult",17932,10.32
"282","0780","Växjö",97574,10.45
"38","1231","Burlöv",19844,10.13
"216","1264","Skurup",16861,10.2
"197","1275","Perstorp",7323,10.51
"88","1283","Helsingborg",151306,10.18
"196","1402","Partille",40730,10.48
"135","1462","Lilla Edet",14426,10.88
"241","1465","Svenljunga",10759,10.41
"66","1480","Göteborg",604616,11.25
"155","1481","Mölndal",70534,11.2
"53","1499","Falköping",32991,10.34
"60","2026","Gagnef",10430,10.93
"13","2321","Åre",12464,10.59
"147","2418","Malå",2990,10.37
"272","2460","Vännäs",9059,11.26
