"CPUBID_XRND","MPUBID_XRND","CRACE_XRND","CSEX_XRND","CYRB_XRND","BPI2014_2014","DIGIT2014_2014","COGNP2014_2014","MATH2014_2014","RECOG2014_2014","COMP2014_2014","PPVT2014_2014"
4304,43,3,2,2000,190,NA,19,44,58,48,NA
6103,61,3,1,2003,70,13,42,63,60,63,139
6203,62,3,2,2001,0,NA,1,58,64,49,NA
21104,211,3,1,2003,10,NA,90,45,62,64,NA
24904,249,3,1,2002,0,NA,90,54,49,46,NA
25602,256,3,1,2001,130,NA,12,57,75,51,NA
28805,288,3,2,2000,90,NA,5,56,52,43,NA
28806,288,3,1,2000,60,NA,1,75,62,45,NA
44902,449,3,2,2002,30,NA,61,60,84,51,NA
50102,501,3,1,2001,40,NA,NA,NA,NA,NA,NA
62203,622,2,2,2004,110,19,42,57,64,47,113
66502,665,3,2,2001,40,NA,NA,NA,NA,NA,NA
66805,668,3,1,2005,110,NA,NA,NA,NA,NA,NA
74402,744,2,1,2001,0,NA,77,69,69,57,NA
75605,756,1,1,2001,0,NA,12,55,76,48,NA
80306,803,3,2,2001,44,NA,42,50,64,51,NA
95402,954,3,1,2000,10,NA,90,83,80,71,NA
101902,1019,3,2,2002,80,NA,42,13,21,NA,NA
101903,1019,3,1,2005,20,8,14,45,80,54,NA
103304,1033,2,1,2005,20,10,30,39,44,28,83
105001,1050,3,1,2002,120,NA,90,65,78,61,NA
108702,1087,3,2,2000,50,NA,23,80,79,76,NA
108703,1087,3,2,2003,110,NA,23,65,73,77,NA
108704,1087,3,1,2007,120,8,70,38,47,47,NA
108705,1087,3,2,2009,160,NA,50,16,19,19,96
108806,1088,3,2,2003,70,NA,NA,NA,NA,NA,NA
111703,1117,1,1,2000,0,NA,90,72,78,64,NA
115902,1159,2,1,2006,70,13,14,50,51,38,NA
116006,1160,2,2,2001,0,NA,77,61,61,53,NA
123402,1234,3,1,2001,20,NA,90,65,77,60,NA
123603,1236,3,1,2001,10,NA,77,50,67,50,NA
126903,1269,2,1,2000,20,NA,NA,NA,NA,NA,NA
132602,1326,3,1,2000,110,NA,42,54,70,61,NA
134701,1347,3,2,2007,40,NA,NA,NA,NA,NA,NA
144303,1443,3,1,2004,10,12,NA,64,74,58,139
156402,1564,3,2,2001,50,NA,61,66,73,49,NA
164903,1649,1,2,2001,0,NA,12,41,43,35,NA
164904,1649,1,1,2003,10,11,5,41,36,38,86
165006,1650,1,2,2001,30,NA,1,54,67,50,NA
166202,1662,3,2,2000,NA,NA,NA,66,73,59,NA
167403,1674,3,2,2000,10,NA,NA,NA,NA,NA,NA
168501,1685,2,2,2001,0,NA,NA,NA,NA,NA,NA
172701,1727,3,2,2001,0,NA,NA,NA,NA,NA,NA
172702,1727,3,1,2005,0,8,NA,49,55,47,111
173701,1737,1,2,2003,30,NA,NA,NA,NA,NA,NA
174002,1740,3,1,2001,10,NA,77,74,78,72,NA
174503,1745,3,2,2000,NA,NA,90,73,75,71,NA
179901,1799,3,2,2006,130,13,14,43,47,43,NA
179902,1799,3,1,2010,20,NA,50,NA,NA,NA,26
179903,1799,3,2,2010,70,NA,50,NA,NA,NA,49
190602,1906,3,1,2001,130,NA,23,57,67,68,NA
190603,1906,3,2,2001,50,NA,23,52,67,71,NA
190604,1906,3,2,2001,130,NA,23,62,74,69,NA
195302,1953,3,1,2002,0,NA,61,65,78,72,NA
199502,1995,3,2,2003,80,NA,NA,NA,NA,NA,NA
204202,2042,3,1,2001,10,NA,90,69,73,71,NA
206802,2068,3,2,2002,120,NA,NA,NA,NA,NA,NA
209902,2099,3,2,2000,10,NA,61,68,65,64,NA
209903,2099,3,1,2003,10,NA,42,71,56,58,NA
